,global_seq,global_emo,local_seq,local_emo
3464,"He's an old antique, very serious. Bad luck, Anne. Hey! How about your history teacher? She's another antique.",0,I'm sorry to hear that.,0
3465,"Your family must be busy shopping for Christmas, now. Oh yeah and decorating the house too was colored paper and pictures. they will put a Christmas tree just inside the front door, pained toys and colored electric lights along the branches and plays all the gift packages under it. Woo, your home will beautiful on Christmas. Sure our thing.",4,I do wish your christmas and happy new year.,4
3466,"How long have you been in Taiwan? About 3 years, so I came here 2000. So, where did you grow up? Providence, Rhode Island. do you know it?",0,"I am not sure, where exactly is it?",0
3467,What's your schedule like this year? Pretty busy. I have to pick up a lot of credits this year. What's your major? I’ m majoring in French literature.,0,"Oh, don't you have to take that class on 18th century poetry? It's really difficult. I hear the students in that class have to write a paper a hundred pages long.",0
3468,"Did you check the internet for next week's weather forecast? I sure did. You're in luck! It's supposed to snow all week in the mountains! Yes! Somebody up there loves me! I knew it wasn't too late for snow. It is kind of strange though, to have snow in April, and so much of it.",4,"There have been so many dry winters lately that it's about time, don't you think?",4
3469,"Are you studying here? Yes, I am studying in Eastern Asian language department. What are you major in? I major in Japanese.",0,What do you think of the literature course.,0
3470,"Did you say you saw lily alone? Yes, nobody was with her. Where did you say she was? In Thailand.",0,I must say I think that is very odd. Are you absolutely certain it was her?,0
3471,"Is that you, Dave? Oh, my gosh! The backstabber who left us to work for the evil WebTracker! Yeah, yeah, yeah. Hi, Mary. How are you? I'm filthy rich! Haven't you heard about the MicroPower deal? Yeah, I guess I did. They're going to buy invoking?",4,That's right. For seventy-five million. So how are you?,4
3472,The summer vacation is coming. Have you any plans? I haven't made up my mind. Maybe I will go to the US. What about you? I am going on a hiking trip. It's good exercise as well as fun. I think so.,0,So why not come and join us? Lee will come as well.,4
3473,We need to elect club officials before the summer starts. I guess we should start with nominees first. Let's make it the first item of business in our next meeting. We should probably let everyone know ahead of time so they will be prepared.,0,Can you take care of sending out a bulletin by e-mail to all the club members?,0
3474,"are you looking for a course? yes, but I'm not sure which one to sign up for. what kind of program are you looking for? Full-time or part-time? I have to work during the day, so I want to find a part-time course that I can do in the evenings.",0,what kind of course are you looking for?,0
3475,"I need to improve my English. do you want a one-to-one private tutor or a group class? I think a one-to-one course will be too expensive for me, so a group class would be fine. have you ever considered taking one of our online courses?",0,I think I prefer face-to-face instruction better.,0
3476,"that's fine. If you want, you can sign up for a pre-sessional interview. what's that for? one of our qualified teachers will interview you so that they can find a class that suits you best. do you have a brochure about the course that I can take home to read?",0,sure. Here's a brochure about out English classes that meet in the evenings.,0
3477,"Hi, Mr. Zhang. What’ s wrong? You don’ t look so happy. How was your date? I was turned down again. It’ s frustrating. I guess you’ Ve got to teach me some skills. Me? I’ m even less experienced than you are. At least you know what American women generally like in a man.",0,"Believe it or not, I guess American women like a man in good shape, which Chinese women may not care about so much. That’ s my honest opinion. I know you have been trying very hard.",0
3478,"Who is it? Open the door. It's me. I can't find the key. You're always so careless. Oh, thank you. I am exhausted. Will you bring me a cup of tea?",0,"Okay, but I haven't prepare supper.",0
3479,"Recently, there prevails ' Net Love '! What's Net Love? Two people chat on the Net and step by step fall into love! It's Net Love. Ridiculous! They haven't met! Maybe they're the same sex!",6,Maybe yesterday you've received a man's woos. He's called ' Beast '?,0
3480,"How could you know? I watched the screen display! Do you know ' He ' is Ms. Rebecca! It's typical Net Love, and a typical lesbians ' homosex! HA!",0,Impossible!,6
3481,"You honestly believe the world’ s improving every year? Yes, I do. I think that science is making us wiser. What do you think? I don’ t think you’ re right there. I believe industry is making us wealthier.",0,I don’ t believe that.,0
3482,How was your date recently? Not too bad. It is seemingly too hard for me to find a place for our date. I guess so. Going to watch a movie and having dinner at a restaurant are usual. She said she wanted to go Dutch in dating.,0,"Yes, now many girls want to be independent, so it is a little popular, especially among white collars.",0
3483,"You’ re going to set up your own law office, aren’ t you? Yes. After so many years of hard work, I’ d rather I had an office of my own. If you need help, don’ t hesitate to ask me. I’ ll be very glad if you would help.",4,I’ d like to wish you every success in your new venture.,4
3484,"Do you know who Ammo Hung is? Of course. He is now 50 years old. And he started out studying alembics, singing, dancing and martial arts at the age of nine, and has tarred in 140 kung fu films. He has also become an independent producer and director. You know only one aspect of him. Do you know what he would do in the kitchen? I have no idea. Tell me.",0,"In the kitchen, with his wife by his side he still puts on quite a dinner time show.",0
3485,"Wasn't that a great flick? I was on the edge of my seat through the whole movie. I would say it was a typical run-of-the-mill Hollywood thriller. Well, I'm no movie expert, but those special effects were impressive by any standards. Special effects? Baloney! That movie was made on a shoestring budget. They've been using trick photography like that for years",6,"Okay. But you have to admit that it was an exciting story, especially with that surprise ending.",4
3486,"Do you know the highest mountain in the world? Yes. It is Everest, also called Zhumulangma in China. It is 8,844. 43 meters above the sea level. Wow! That must be really awesome to stand on the top of the mountain to overlook the earth. Actually, it is impossible because the mountain is covered with snow all year around. And is has heavy fog for most of the time.",0,Have people set foot on its peak?,0
3487,"Alice, I never knew you had such a lovely voice. You really can sing, can't you? Thanks, Mark. I used to be a member of the school choir. No wonder you can control your voice so well. You are a professional singer. Well, you are flattering me. I wouldn't say I am a professional, but I did receive some training at school. My music teacher used to be a professional singer.",4,"Well, a good teacher makes good students.",0
3488,What? You want to leave early? Yes. Can I? Do you really need to? Yes. Is it OK with you?,0,Is it important?,0
3489,"Good morning. Sanyu Restaurant. May I help you? What time do you open this evening? We open at 6:30, sir. I see. I'd like to reserve a table for two.",4,"Yes, sir. What time would you like your table, sir?",4
3490,"I'm not sure, perhaps around 8 pm. Fine! I'll reserve a table for two at 8 pm, sir. May I have your name, please? Davis. Thank you, Mr. Davis.",4,"Oh, any chance of a table by the window? My wife loves the bird's eye view. As it's her birthday, I want it to be a celebration.",4
3491,"Wow, this is drop-dead gorgeous. So no more regret now? Don't remind me of that. This would be the last time I cut any classes for a basketball game. Come on. Don't be so hard on yourself. Enjoy your life.",0,"I just can't help it. Oh, look at Clive, he is really a big hit. They are definitely gonna win.",0
3492,"It's only seven minutes into the game, too early to cheer up. Come on, 18 points already, they are never gonna catch up. Who knows! It's a long game. Look! That was a really nice shot! Thay are coming back to narrow the gap.",0,"Wait, that guy, I know him. He is just a bench warmer.",0
3493,"What are the seasons like in your city? Summers are hot and usually lasts a long time. Winters are short, but cold, wet, and windy. I love the summers in my city, but I hate the wintertime. Does it ever rain in summer? We usually get a big thunderstorm every two weeks, but apart from that, summers are dry. Thunderstorms make the air fresh again, so most people don’ t mind then.",0,What are spring and autumn like?,0
3494,"I like spring because flowers bloom and trees grow leaves again. In spring, the weather is very changeable-sometimes cold, sometimes warm. It’ s usually windy with some rain. Autumn is usually sunny and dry, but it’ s gradually gets colder as winter arrives. What are the seasons like in you city? Well, I live in the southern hemisphere, so our summertime is your wintertime, and vice versa. We get some rain in every season, but most is in winter. In winter, it sometimes gets cold, but our winters are usually quite mild. Summers are warm, but not hot. Spring and autumn are both very short-sometimes just a few weeks each. The weather is very changeable then-just like spring in your city. Do you usually go on a summer holiday? No, I don’ t. I go on a winter holiday instead. I go somewhere warm.",0,I usually go on holiday during the spring or the autumn. I try to go somewhere where the weather is more reliable than in my city.,0
3495,"How do you think people get their personalities? I think it’ s mainly from the environment a person lives in. Don’ t you think people get their personalities from their parents? No, but parents control a lot of the environment that kids grow up in, so they certainly influence their kids ' personalities a lot.",0,So why do you think many kids have personalities that are so different from their parents.,0
3496,"Maybe when they become teenagers, they want to be completely different to their parents. You might be right. I guess most parents want their kids to be like them, but kids today grow up in a different environment. You know, they know much more about the world from the internet, newspapers, and tv. Do you think that teenagers get a lot of their bad behaviour from tv and movies? Maybe some of it. I think a lot of people blame TV and movies when the real problem is that the parents aren’ t bringing their child up correctly.",0,Parents have a difficult job. They have to bring up their children and usually have to work too.,0
3497,"Are you an art aficionado? Not really. I like going to an art exhibition once or twice a year. I hardly know anything about art or sculpture. You are a true art lover, aren’ t you? I love going to art galleries, particularly when one is holding an exhibition of abstract art. I never understand the meaning of those painting. They are too abstract for me. I didn’ t pay much attention in art class at school.",0,Art isn’ t for everyone. I’ m going to an exhibition tomorrow at the national gallery. It’ s an exhibition of greek and roman sculpture.,0
3498,"your daughter will be back soon. I'm going to start making dinner. You can just watch some TV in TV room if you like. We just bought a new TV with a LCD screen. The remote control is on the coffee ta would you mind if I helped out in the kitchen instead? I do enjoy cooking. this is supposed to be your vacation ; we'd like you to just relax. cooking makes me feel relaxed. So, what are we cooking?",4,"ok, well, we're going to make a pan of lasagne, a salad, and some garlic bread. Here's the recipe. Do you want to get the ingredients we need out of the cupboard?",0
3499,"sure. We should probably pre-heat the oven right away, too. that's a good idea. Can you set the oven to 200 degrees Celsius? that's a bit high for lasagne. I'll just set it at 180 degree and we can take it from there. fine. I'll just get out the casserole dish, the saucepan, the salad bowl, and the baking sheet.",0,"you know, I could do this myself. Why don't you go get the screwdriver and the pliers and go fix the vacuum cleaner so it works better?",0
3500,It's very kind of you to come and see us off. My pleasure.What a pity you have to leave so soon! We would stay longer. but I've got to attend a meeting tomorrow morning. Thank you for your warm hospitality. You're welcome. Maybe next time we'll come to see you.,4,My wife and I will look forward to it.,4
3501,"I promise the next holiday I have we're coming to visit. Oh, what's your flight number? lt's Flight No. 302, Northwest Orient Airlines. They just announced the boarding call. Then we've got to get going.",0,OK. Bon voyage and a safe landing.,4
3502,"What's the matter with you? You look so upset and tired. My father failed in business. Oh, that's really tough. Maybe it is the most difficult period of my family have experienced.",5,"I can understand. By the way, is there anyway I can help?",4
3503,What can I do for you? I want to check out these books. I need your library card. I have it right here.,0,It seems you have late fees.,0
3504,"Are you sure? Yes, I’ m sure. How much? Your late fees come to $ 24.50.",0,I don’ t have that right now.,0
3505,"Hi Sarah, how are you? Fine, how are you doing? OK. What do you want to do?",0,I'm hungry. I'd like to eat something.,0
3506,Where do you want to go? I'd like to go to an Italian restaurant. What kind of Italian food do you like? I like spaghetti. Do you like spaghetti?,4,"No, I don't, but I like pizza.",0
3507,"The Johnson are on their way back. You remember them, don't you? Johnson? I can't place them. We met them in Bermuda last May. They've completely slipped my mind.",0,The couple with the dogs-think back.,0
3508,"What are you going to do for your year abroad, Tim? Study study study! I want to learn a lot. You’ re going to take courses? Yes, I’ m going to take some university courses there.",0,Sounds hard.,0
3509,"You're from New York, aren't you? Yes, that's right. What do you suggest I should see in New York? Well, how about the Museum of Modern Art?",0,"No, I don't like museums.They ' re boring.",0
3510,"Is this Zhang Lin's home? Yes.Oh, it's you, Linda. I haven't seen you for a long time.Well, come in and sit down.How about something to drink? Yes, please. I'm a little thirsty, actually. Would you like tea or coffee?",4,"Coffee, please.",4
3511,"Here you are. Would you like to talk over a drink? That sounds good. How are you doing, Linda? Just fine.Are you busy now?",4,No. I'm just killing time.,4
3512,Do you know where you want to transfer to? I don’ t have the slightest clue. What school would you like to go to? I’ m not sure.,0,You honestly have no idea?,6
3513,PCC is perfectly fine for me. You might as well stay here. That’ s not a bad idea. PCC is a wonderful institution.,0,You have a point.,0
3514,"Hi, Walter! Hi, Sterling! What do you think of our new teacher? Professor Wood? I think he's a brilliant scientist.",0,You're got a point there.But do you think he's a little absent-minded?,0
3515,What? What happened with that guy at the cafe? nothing But you’ re crazy about him?,0,"Yes, I am.",0
3516,Why don’ t you run off with him? What are you waiting for? I don’ t actually know him. Really? I only know him through the... you are not gonna believe this.,0,"Oh, let me guess. Through the internet?",0
3517,"It’ s a wonderful party, Joan, The food, the drink, the atmosphere... Everyone is enjoying himself. Thanks to your help.To our friendship. Bottoms up! By the way what kind of entertainment are we gonna have? Dancing. The boys from the Campus Band have promised to play music for us.",4,"Oh, how wonderful! Every girl on the campus has a crush on those handsome guys.",4
3518,"This is the first time for me to have a Chinese guest. I hope you like western cooking. Yes. I like it very much. Cooking is a hobby with me. I'm always trying to think up new recipes. I hope you like the soup. It's kind of a specialty of mine, so I hope you enjoy it. It's excellent.",4,Thank you for your compliment. Won't you try this fish with white sauce? I'm rather round of it.,0
3519,It's delicious. What sort of western food do you like best? I like beefsteak very much. Have you tried Chinese dishes? I find the Chinese dishes wonderful.,4,"Well, it's getting late. I have to get up early tomorrow. So I must say good night.",0
3520,"I think Andy's party will be fun. Yeah, I think so. Oh, by the way, I need to ask you something. What's that? Could I get back the sweater you borrowed?",0,"Sure. Oh, that reminds me. Could I borrow your black leather boots?",0
3521,"Hot in here, isn't it? Yeah, really. Is it Ok if I sit here? Of course. Suit yourself.",0,"Thanks. My name's Bill Peters, by the way.",4
3522,"Hi, I'm Susan Jackson. Nice to meet you. And what do you do, Susan? I'm a student at UCLA. Oh, are you? And what are you studying?",0,Medicine.,0
3523,"So, Fred, what are your plans for after graduation? Well, I've already got a job waiting for me back in my hometown. That's cool. Have you already found an apartment to live in? I’ m planning on living with my parents. Won't you?",0,"I couldn't even if I wanted to. My parents told me that if I went home, then I'd have to find my own place.",0
3524,"You mean they're kicking you out? Not really, they just don't want me living at home. My older sister did that, and she lived at home for seven years. Once she started living at home, it got harder and harder for her to move out. Well, it's not like my parents want me to live at home the rest of my life. They said that it's ok if I move back home to begin with, but they want me to find a place of my own after a year or so. My parents just didn't handle my older sister very well, and because of that, they want me to be more independent. They think that it's important that I should learn how to live on my own.",0,"I know I need to learn that myself, but I just don't have the money for it at the moment. Living at home allows me to save up some money before I started finding a place.",0
3525,"I'd love to continue this conversation, but I really need to go now. I have to get back to the office. Well, let's get together soon. Okay. Would you like to have lunch some day next week? Sure. How about Monday?",0,Hmm. I'm afraid I can't make it on Monday. I've got to fly to Chicago on business.,0
3526,"Well unfortunately, I'm tied up on Tuesday. I'm supposed to have lunch with an important visitor from out of town, and I don't think there's any way I can get out of it.Are you free on Wednesday? Wednesday? Let me see. Hmm. Somehow I think I've already got something scheduled for Wednesday. Oh, yes! I've got an appointment with my dentist to have my teeth cleaned, and it's essential that I keep it. Well, I'm afraid Thursday is out for me. I'm expected to attend a meeting of our personnel committee, and it's very important for me to be there. So that leaves Friday. I don't have any obligations or commitments on Friday.How about you?",0,Friday sounds good. Where should we meet?,0
3527,"Where are you going? It’ s Tuesday today. I always go to my class on Tuesday night. I didn’ t know you were taking any kind of class. Tell me about it. Well, I’ m learning how to use math in the business environment.",0,What for?,0
3528,May I ask what the name is the girl? Which one? The tallest one. She is Miao Li. She's come here to see her brother.,0,"Oh, it's so. She looks very lovely. Could you give me some else information on her?",4
3529,OK. She's a costume designer and works in a garment mill. How do you think about her? She looks very beautiful. She is a nice girl. I'm wondering if she has boyfriend.,4,"No, she hasn't.",0
3530,How may I help you? I want to get a passport. You need to apply for a passport. When can I apply for it?,0,You can apply right now.,0
3531,"I’ d like to do that. Fill this out, please. What’ s next? I will need to take your passport picture.",0,When will my passport be ready?,0
3532,"Mr. : For tomorrow, read pages 12 to 20. Then do exercises one through ten on page 21. Do we have to type out our homework? Mr. : No. You only do that when you write reports. Is there anything else?",0,"Mr. : For those of you who don't have a calculator, get one.",0
3533,"Lucy, come here! I can see the lake which is in the center of park. It is beautiful! Look, there are so many birds around it. It is a great place for a relaxing vacation. Listen to the sound of nature! It's like music.",4,"Yeah, I agree. It makes you feel really good.",4
3534,"Good morning, Miss. Morning. Can I help you? Yes, I'd like to know how to use the library. You know, I'm a new student here. All you need is your student identification card to check out books.",0,Yes. Here's my identification.,0
3535,"That's all you need. Thank you very much. By the way, how many books am I allowed to check out? You can check out two books at a time. But you can't check out newspapers, magazines and periodicals, they have to be read within library. How long can I keep the books?",0,For two weeks. After that you must renew the book if you wish to keep them longer.,0
3536,"Thank you for organizing this great baby shower for me! I’ Ve always been to baby showers but never actually had one held for me! Let’ s get started! Ok, let’ s start opening some presents! Oh look! What a great little bib for the baby! This will definitely come in handy! Oh wow, you also got me a stroller! That’ s so great! Thank you! This next one is from Betty.",4,"A highchair and car seat! Wow Betty, thank you so much! I really appreciate it!",4
3537,"I work so hard that I do not have the energy to exercise. That is just an excuse.You can always find some time to exercise. But I work hard all the time for long hours. Often I have no time for lunch. Yet, I am still getting fatter. Bill, you know that work is not the same as exercise as it is stressful but not relaxing.And skipping meals will not help you lose weight.In fact your body will only store fat if you miss meals.",0,"I know you're right, but what can I do?",0
3538,"Good morning, you look very tired. Yes, I nearly didn't sleep last night. Did you hold a party or something else yesterday? No, I just watched Supergirl, and it began too late in the night. I was too excited to get asleep after one o'clock.",0,"I don't like this program, because there are too many constant arguments between the judges.",0
3539,"The contestants are different. These girls perform in free styles. Do you have much time watching TV? I think less than 3 hours. This year I didn't watch any entertainment programs. Too many ads between the programs. I prefer listening to the radio. I don't like ads, either. But ads could bring big profits to the TV station.",0,"If they could make beautiful ads, I could bear.",0
3540,"You should draw a picture of a fancy kingdom of animals in forty minutes. All right. But how? Just imagine, if a horse can fly, if a bird can swim... and things like that. I see. But could you give me another piece of paper?",0,"OK. Here you are. Anybody who wants help, please come to me.",0
3541,"Mom, I've got something to tell you. So, please! Aunt Jane buys a new bike for Tom. He is putting on grand airs. I bought you a new one last year. Isn't it handsome?",0,It is great. But Tom's bike is so much better than mine.,0
3542,"Frankly, he is more well-behaved than you. Nothing of that sort! Why hasn't the bus come yet? Every morning we have to wait for so long. Mom, it's OK. I will buy a big car one day. It is faster than the bus.",0,Really? I am looking forward to that. What about the traffic?,6
3543,"Hey Steve. When's the next time you're going to play golf? I'm going out this Saturday. Do you already have a foursome? Unfortunately, we do. Let's plan for something together for Wednesday. We can go right after work.",0,That sounds good. Where do you want to play?,0
3544,"We won't have much time, so let's play somewhere close to work. How about Bellevue? It's pretty close. How much does it cost over there? Twilight rates are 21 dollars.",0,That's pretty good. Let's do it.,4
3545,Aright. I'll get a tee time for Wednesday at about 4 Make it 4 Ok. I'll call you later when I get a tee time. Sounds good. I'll see you on Wednesday then.,4,Aright. Have fun on Saturday.,4
3546,"Oh, God. It’ s late. I’ m afraid I have to leave. But you just got here. Can’ t you stay a little longer and have some tea? That’ s very kind of you. But if I don’ t go now I’ ll miss the last bus. That’ s too bad.",0,Thank you for your hospitality.,4
3547,"Thanks for coming. How about next time we meet at my place? And I’ ll treat you to Chinese food. I know how much you like it. We can order in and watch video too. Anything you like, I promise. Great idea. I’ m looking forward to it. See you then. Well. I really do have to go.",4,Good night then.,4
3548,"isn't it wonderful walking here? what do you mean? I mean look at all these magnificent tall buildings around us. yes, look over there. That's the Empire State Building. My book says it's 102 stories tall.",4,it's quite famous but don't you think it looks a bit old-fashioned?,4
3549,"you're right, but when it was built in 1930 it was a marvel of technology and engineering. what other important buildings are we going to see on Fifth Avenue? quite a number. Actually every skyscraper has a history. A few blocks ahead we'll see St.Patrick ' s Cathedral and just across the street will be the world-renowed Rockefeller Center. It's a landmark what's there after that?",4,"well then, there's a Central Park. Facing the park on Fifth Avenue is probably some of the most expensive properties in the world.",4
3550,"Hi, Daisy! Hi Simon. Nice to meet you again I hope you are Settling in at school! I am! I've made lots of friends and I really enjoy my courses.",4,Good! Me too! By the way. you didn't tell me what you are studying here.,0
3551,Didn't I? I'm doing business studies. Really? That's great. You hope to join a company after graduating? Maybe. My parents moved to Canada the year when I was born. We are living in Toronto. Suppose I might get a job in Toronto when I graduate. It's too soon to say really. What about your friend Zoe,0,She's from Australia. She lives in Sydney. Her father runs a hotel business there and she is doing a degree in accountancy.,0
3552,"Accountancy? Really? She must be very good at figures. I guess so. What about you, Simon? I'm studying law. Great! So I'll know who to call if I ever need a lawyer.",4,"Sure, welcome anytime",4
3553,"Emily, are you getting rushed by a sorority? More than one. I think the count is now three, if I remember correctly. Wow. I'm getting rushed too, but just one. Are you thinking of joining any of them? I don't know. I know there are advantages to joining, but I'm not much into group stuff.",0,The guys I've talked to say that the activities that go on in a frat house can be a little distracting depending on the group.,0
3554,"Are you studying any languages here? Yes, I'm studying in the Foreign Languages Department. What are you majoring in? I'm majoring in English.",0,Is it difficult to learn?,0
3555,"Yes. The language is hard to learn, but it's interesting. Do you know anything about Britain and America? I'm reading a lot of books about the two countries. I like the culture. Right.It ' s important to learn the culture of a nation if you want to learn the language well.",0,You're right.,0
3556,"How are you? I'm fine thanks. How about you? I'm okay. What are you doing these days? Not a lot, actually. Busy at work of course - we've got a big project coming up in Malaysia. I may have to go to KL in a few weeks.",0,That's great. When are you starting?,0
3557,"Jenny, are you having fun here? Yes, of course. This is really a nice party with wonderful people and lovely wines. I’ m glad you’ re enjoying it. Thank you for the invitation.",4,It’ s my pleasure. Would you like another glass of champagne?,4
3558,"Steven, have you ever met Hanson ever since he went back to London? No, but we still stay in touch. What's the way you keep in contact? We contact through email.",0,Email is not always the best form. I think QQ is way better.,0
3559,"Hello Mike! Would you like a drink? No, thank you. I had too much to drink yesterday evening. I had a bad hangover this morning. My head felt terrible. Were you celebrating something? Yes. It was a friend’ s birthday party. We drank all kinds of things-beer, wine and spirits. After midnight, we were even drinking cocktails!",4,It’ s a bad idea to drink a combination of alcoholic drinks. You should stick with one for the whole evening.,0
3560,"I know, but it was a celebration, you Kwon? I don’ t think I’ Ve see you drunk. I usually only drink beer and I rarely drink more than a few pints. You are a sensible drinker. Anyway, I’ m not going to drink any alcohol this evening. I don’ t’ want another bad hangover. Let me buy you a soft drink then. How about a coke?",0,Yeah. That’ s a good idea. I heard that coke was first used as a medicine.,0
3561,"Rally?... barman!... a large coke with ice and lemon, please... thanks. Here’ s the money. Are you going to the wine tasting tomorrow? Yes. I thought it might be interesting to learn a little about wine... ... and taste a few! There will be wines from several countries and an expert to give advice on which wines are good and which ones are not.",0,Yes. I’ m looking forward to it.,0
3562,"Excuse me, do you know where the visa office is? Yes, I do. I’ ll walk you there. Thanks! Are you applying to study or work abroad?",0,I want to study abroad.,0
3563,What do you want to study? I hope to study English literature. Have you got your visa yet? Not yet. I have an interview with the visa official today.,0,I see. Is it your first interview?,0
3564,"No, I've already been to here for three interviews. What happened? I was denied a visa? Why?",0,Like most students. I want to work in America after graduation.,0
3565,"What does your sister look like, Mike? Well, she’ s tall and pretty. Is she like you? I suppose so. We’ re both friendly and easy-going.",0,Is she as clever as you?,0
3566,When were you born may I ask? On 20th May 1963. Do you know what it was according to the lunar calendar? 27th day of the fourth month.,0,"By the way, could you tell me when the film will begin?",0
3567,It will begin at five thirty. I am frigid I can't be there on time. You can see it tomorrow. I don't want to miss it today.,0,See you.,0
3568,"Honey, do you have a second? Sure! Are you okay? You seem a bit worried.What’ s on your mind? We need to talk. Okay...",0,"I’ Ve been thinking, and well, I think we need to start seeing other people.",0
3569,"What? Why? I mean, we’ Ve had our ups and downs, and we have the occasional disagreement, but we’ re happy together, aren’ t we? That’ s just it, I’ m not happy anymore, Tim. It’ s not you, it’ s me. I know that I can be hard to deal with, and you are a great guy! You are the type of guythat any woman would kill for! So, what are you saying? You’ re breaking up with me because I’ m perfect? Tim, you are too good for me. You deserve someone who can make you smile and make you happy the way that you made me happy. Oh, I could say that I’ ll be all you need, but that would be a lie. I know I’ d only hurt you, I know I’ d only make you cry.",0,"Baby, come on. Don’ t do this to me! Whatever it is, we can work it out. Just give me another chance! I know that we can get through this, but we gotta stick together! Don’ t leave me.",0
3570,"Did you hear what happened to Mike in Accounts? No. What? He got arrested on Friday night and spent the night in jail. No. Really, what happened?",6,"Well, it was all a big mistake, actually. He got home on Friday night really late, and apparently he'd been out drinking with some clients, so he was really drunk.",0
3571,"Was he out with the guys from the bank? Yes, I think so. Oh, yeah, they always get really drunk. Well, anyway, he'd somehow lost his wallet and his house keys, so he couldn't get in. He lives alone, you know.",0,"Oh, really. I thought he lived with his wife.",6
3572,"No, she left him last year. Oh, really? Do you know why? Hang on, let me finish telling you what happened. Where was I? He lost his wallet and keys.",0,"Oh yes, well, he tried to climb in through the bathroom window, but apparently he slipped and broke the glass with his foot. The neighbors heard him and thought a robbery was in progress, so they called the police.",0
3573,"Oh, no. Yes. So when the cops arrived, they didn't believe his story So then what happened? Well, when he sobered up, he called someone from work to come and bail him out.",0,"Well, that's a bit of a tricky situation.",0
3574,"What's your opinion about childless couples? Will you choose to have no kids? To be honest, I wouldn't. Why? Do you have to make a choice now? Not really. But it has puzzled me for a long time.",0,What's the puzzle?,0
3575,"My husband and I prefer to have no kids, but my mother-in-law is very traditional and wants grandkids. Oh, I see. I think the older generation tend to think in a different way. Yes. It seems she can never accept a childless marriage. We had a fight last night. Oh, really? Maybe she is just eager to see her grandchildren.",6,But it's absolutely our own business to have a child or not.,0
3576,"Definitely. You know, I often overhear our neighbor, the young couple, fighting about how to raise their kid and I really don't want kids to spoil our happiness. Don't worry. I think in most cases, children are the glue that keeps a family together. I guess you're right. But I still prefer to have no child.",0,Sure. You can fully enjoy your time together.,0
3577,"You’ re a big fan of Andy Lau, aren’ t you? Yes, I’ Ve been got all his albums and most of his films on DVD. I adore him. He’ s my idol. How come you don’ t have all of his films on DVD? Some of his early films are hard to find nowadays, especially the ones where he only played a bit part.",0,I see. I’ m sure you’ ll find them one day. I see you also have several poster of him.,0
3578,"Yes. These posters are new. I bought them last week and put them up on my bedroom walls yesterday. Are you a member of his fan club? I was, but then I discovered you can find out everything for free on the internet, so I’ m not a member now. Did you see the interview with Andy Lau in cosmopolitan magazine last month?",0,Of course! I bought two copies.,4
3579,"How did you enjoy your family party at “ ginger’ s ”? I hear that they have a lovely menu and buffet. Oh, it was great. We had seafood buffet. They do one every Friday. The waiters and waitresses are very good. They are very attentive, but don’ t hang around the table. I like the buffets they have, but if often order a la carte, because I don’ t feel extremely hungry. I like the wine list there too. Yes, so do I. they have wines from all over the world. There is a good range of prices to suit every pocket. We ordered some Australian red wine, which tasted delicious and wasn’ t expensive.",0,"Some restaurants allow you to take your own wine and just charge you corkage, but the don’ t do that at “ ginger’ s ”. what was included in the seafood buffet?",0
3580,"They had almost every kind of seafood. There were oyster, shrimp, prawns, crabs, and fish. I ate a lot of smoked salmon. Did they have lobster? No, they didn’ t. you could order it from the menu. I think that lobster is too expensive to be included in the buffet. Yes, it probably is. I don’ t like ordering oysters in restaurants. You never know whether they are fresh.",0,"I know. I didn’ t eat any, but a few people in our group did and no one got sick.",0
3581,"Hello there! Come on in! Don’ t just stand there! Come and take a seat! Um, okay. Well, I just want a trim. Nothing too fancy. Oh my gosh! Your hair is amazing! So silky, so shiny! I am going to work my magic on your hair! You hear me? You are going to look like a million bucks! Okay. Um... can you make sure my sideburns are even and you just take a little off the top.",0,"Don’ t you worry, I’ ll take care of everything! Oh my god! I just love your curly hair! It’ s so fluffy and cute! You should totally let it grow out. An afro would look great on you!",4
3582,what do you think about this store? I heard it’ s a posh store that’ s only got branches in big cities. I love this store. The only problem is that it’ s extremely expensive. don’ t worry. I’ Ve decided that for your birthday I’ m going to take you shopping for a new dress. really? I thought you hated shopping?,4,"I do, that’ s why you should appreciate this gift!",4
3583,"sure. That’ s really nice of you. Let’ s go in and try some things on. how about this red dress? I think it would really suit you. that’ s gorgeous! Do they have it in a size 8? here you go.On any other day, it would cost me a fortune, but it’ s on special offer today.",4,I think this color isn’ t quite right for me. Do they have the same dress in white?,4
3584,"Judy, what is everybody talking about? Haven’ t you heard? Richard was fired by our manager. You’ re kidding. It can’ t be true. Believe it or not. Everybody is talking about it in the company.",0,Really? I’ m surprised.,6
3585,"Do you think that climate change is responsible for the recent floods? It could be. There are floods in this country almost every year, but in recent years they have been more widespread and more frequent. It seems that the climate in this country is changing. The summers are hotter. The last three summers have been the hottest for the past 200 years. There have also been stronger winds.",0,I think that the changing climate is a sign that we are causing too much damage to the environment.,0
3586,"I remember you said that you like China because it has cheap beers. Yes, unbelievably cheap. Carlsborg is less than $ 1. Why do you drink? I mean, where does drinking get you? It's fashionable.",0,"Come on, you don't even know that blinds following is a sign of immaturity.",0
